LAT,LON,YEAR,DOY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M,T2M_RANGE
-35.25,16.75,2023,1,19.83,16.95,18.39,20.16,11.89,83.36,0,101.72,9.98,1.25,140.43,11.34,1.55,139.85,0.61
-35.25,17.25,2023,1,19.93,17.18,18.55,20.22,12.07,84.08,0,101.69,10.11,1.54,136.97,11.5,1.86,136.3,0.63
-35.25,17.75,2023,1,20.07,17.42,18.74,20.25,12.26,84.6,0,101.66,10.13,1.83,132.12,11.56,2.13,131.41,0.72
-35.25,18.25,2023,1,20.23,17.56,18.9,20.23,12.39,84.58,0,101.64,9.99,2.03,125.54,11.49,2.28,124.87,0.81
-35.25,18.75,2023,1,20.37,17.58,18.98,20.21,12.39,83.91,0,101.63,9.66,2.14,117.47,11.21,2.47,116.84,0.76
-35.25,19.25,2023,1,20.5,17.56,19.03,20.27,12.37,83.18,0.01,101.64,9.25,2.59,109.39,10.84,2.9,108.82,0.78
-35.25,19.75,2023,1,20.74,17.55,19.14,20.77,12.36,81.86,0.01,101.63,8.84,2.64,103.7,10.31,2.8,103.14,0.83
-35.25,20.25,2023,1,20.9,17.61,19.26,21.12,12.41,81.38,0.01,101.65,8.64,2.52,99.94,9.94,2.65,99.45,0.82
-35.25,20.75,2023,1,20.94,17.73,19.33,21.16,12.49,81.79,0.01,101.68,8.61,2.38,97.55,9.77,2.64,97.18,0.77
-35.25,21.25,2023,1,20.99,17.76,19.37,21.21,12.51,81.69,0,101.7,8.45,2.34,95.88,9.56,2.69,95.5,0.83
-35.25,21.75,2023,1,21.01,17.79,19.4,21.18,12.54,81.76,0,101.71,8.13,2.66,94.72,9.22,3.07,94.35,0.71
-34.75,16.75,2023,1,20,17.34,18.67,20.2,12.21,84.54,0,101.62,11.1,1.5,144.02,12.75,1.77,143.28,0.73
-34.75,17.25,2023,1,20.08,17.59,18.83,20.04,12.4,85.44,0,101.57,11.24,1.78,140.83,13.01,2.03,140.07,0.82
-34.75,17.75,2023,1,20.07,17.67,18.87,19.77,12.47,85.96,0,101.53,11.24,2.02,135.98,13.15,2.22,135.27,0.82
-34.75,18.25,2023,1,20.06,17.53,18.79,19.59,12.38,85.36,0,101.41,10.95,2.22,128.96,12.96,2.4,128.29,1.13
-34.75,18.75,2023,1,20.28,17.14,18.71,19.82,12.12,82.44,0.01,101.07,10.1,2.38,119.19,12.1,2.65,118.44,2.66
-34.75,19.25,2023,1,20.55,16.83,18.69,20.34,11.9,80.11,0.07,100.82,9.03,3.06,109.59,11.16,3.02,108.54,4.65
-34.75,19.75,2023,1,21.09,16.83,18.96,21.65,11.91,77.81,0.08,100.77,8.52,3.61,104.34,10.41,2.78,103.16,5.47
-34.75,20.25,2023,1,21.34,17.17,19.25,22.39,12.17,78.02,0.06,100.95,8.51,3.64,101.68,10.03,2.77,100.58,4.72
