LAT,LON,YEAR,DOY,T2M,TS,T2M_RANGE,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
-31.25,29.75,2021,1,19.19,20.12,4.18,11.46,79.82,3.28,97.41,7.62,10.86,2.56,8.3,191,9.44,13.15,3.66,9.49,191.41
-31.25,30.25,2021,1,21.67,23.26,2.82,12.49,76.67,2.19,100.36,9.88,13.33,4.41,8.92,194.01,11.61,15.76,5.29,10.46,194.24
-31.25,30.75,2021,1,23.12,25.28,2.21,13.26,75.65,1.9,101.86,11.58,15.06,6.29,8.77,191.86,13.04,17.39,6.67,10.72,192.11
-31.25,31.25,2021,1,22.93,25.1,2.49,13.34,76.75,2.44,101.82,11.74,15.5,6.86,8.64,190.69,13.21,17.85,7.29,10.56,190.81
-31.25,31.75,2021,1,22.87,24.81,2.69,13.46,77.65,4.41,101.77,11.73,15.53,6.26,9.27,189.74,13.23,17.89,6.82,11.08,189.69
-31.25,32.25,2021,1,22.98,24.8,2.95,13.75,78.55,20.53,101.71,11.46,15.44,4.97,10.47,186.16,12.96,17.86,5.58,12.28,185.88
-31.25,32.75,2021,1,23.21,24.97,3.31,14.12,79.42,33.26,101.65,11.01,15.49,3.42,12.07,179.31,12.48,17.96,4.02,13.94,178.88
-31.25,33.25,2021,1,23.47,25.19,3.69,14.53,80.3,35.04,101.6,10.45,15.68,1.99,13.69,169.7,11.9,18.18,2.57,15.61,169.21
-30.75,29.75,2021,1,16.79,17.35,6.23,10.97,84.65,4.87,92.85,6.01,8.61,1.9,6.72,182.17,7.75,10.66,2.96,7.71,183.04
-30.75,30.25,2021,1,19.78,20.63,4.65,12.13,81.28,3.89,97.51,8.18,11.26,3.29,7.97,189.84,10.24,13.77,4.65,9.12,190.28
-30.75,30.75,2021,1,22.78,24.37,2.99,13.43,77.7,3.37,101.26,10.98,14.1,5.91,8.19,190.7,12.89,16.6,7.11,9.49,190.84
-30.75,31.25,2021,1,23.49,25.64,2.66,13.95,77.5,3.74,101.79,12.33,15.38,7.59,7.79,189.62,13.93,17.78,8.22,9.56,189.72
-30.75,31.75,2021,1,23.44,25.43,2.89,14.09,78.47,6.42,101.73,12.15,15.45,5.49,9.96,188.68,13.74,17.79,5.94,11.86,188.59
-30.75,32.25,2021,1,23.58,25.47,3.19,14.42,79.39,27.09,101.67,11.56,15.67,3.3,12.36,188.32,13.12,18.14,3.75,14.4,188.12
-30.75,32.75,2021,1,23.84,25.72,3.59,14.86,80.28,43.79,101.61,11.01,16.12,2.35,13.78,180.58,12.55,18.74,2.9,15.84,180.35
-30.75,33.25,2021,1,24.15,26.04,4,15.33,81.12,48.73,101.55,10.64,16.73,2.52,14.21,167.36,12.16,19.42,3.19,16.23,167.14
-30.25,29.75,2021,1,15.66,16.15,7.64,11.02,87.07,6.57,88.8,4.23,5.94,1.4,4.55,170.3,5.79,7.79,2.23,5.56,171.81
-30.25,30.25,2021,1,18.11,18.49,6.36,11.94,85.51,6.26,94.17,5.81,8.09,2.31,5.78,181.08,8,10.67,3.81,6.86,182.1
-30.25,30.75,2021,1,21.26,22.13,4.69,13.2,81.91,5.76,99.18,9.25,12.28,4.61,7.67,188.9,11.55,14.93,6.6,8.33,189.16
-30.25,31.25,2021,1,23.75,25.65,2.85,14.37,78.53,5.19,101.66,12.4,15.39,7.79,7.6,189.38,14.21,17.94,8.71,9.23,189.41
-30.25,31.75,2021,1,23.97,25.98,3.23,14.74,79.31,7.16,101.67,12.19,15.7,3.91,11.79,188.35,13.85,18.19,4.17,14.02,188.26
-30.25,32.25,2021,1,24.21,26.24,3.56,15.12,79.93,27.77,101.63,11.58,16.01,2.12,13.89,192.97,13.16,18.56,2.34,16.23,193.03
-30.25,32.75,2021,1,24.5,26.52,3.88,15.55,80.61,45.11,101.57,11.16,16.45,2.33,14.13,191.63,12.71,19.11,2.76,16.36,191.68
-30.25,33.25,2021,1,24.81,26.85,4.17,16,81.33,50.86,101.51,11.04,17,3.57,13.43,183.99,12.58,19.75,4.19,15.55,183.81
-29.75,29.75,2021,1,15.13,15.69,8.58,11.27,88.18,9.23,85.32,3.8,5.56,1.02,4.54,162.55,5.08,7.02,2,5.02,164.86
-29.75,30.25,2021,1,17.07,17.37,7.6,11.93,87.88,9.23,90.94,4.6,6.56,1.72,4.84,169.15,6.59,8.93,3.22,5.71,170.37
