iter	RMSE
0	5.62746256
1	5.11456783
2	4.65459904
3	4.246477255
4	3.876127103
5	3.543429169
6	3.246254389
7	2.977479799
8	2.737645475
9	2.525772229
10	2.334206308
11	2.164677344
12	2.014888812
13	1.882553058
14	1.764526878
15	1.656216716
16	1.562638746
17	1.481846034
18	1.406469547
19	1.343919919
20	1.28195617
21	1.232688252
22	1.187706713
23	1.148485633
24	1.108323487
25	1.078617475
26	1.052788279
27	1.02815786
28	1.004235436
29	0.9838303933
30	0.9611701289
31	0.9470471974
32	0.9265414364
33	0.9115364793
34	0.898291835
35	0.8876349499
36	0.8724890289
37	0.8599678628
38	0.847666014
39	0.8382364058
40	0.8311750765
41	0.8218090307
42	0.8146735185
43	0.8083253218
44	0.8018964635
45	0.7958439026
46	0.790351585
47	0.7840395846
48	0.7785581832
49	0.7741155346
50	0.768230681
51	0.7633748823
52	0.7555245821
53	0.7501042704
54	0.7459884968
55	0.7420672582
56	0.7373237332
57	0.7336476524
58	0.7297509601
59	0.7250928895
60	0.7213407734
61	0.7181574931
62	0.7145551567
63	0.7100547108
64	0.7063422824
65	0.7030285015
66	0.7003525521
67	0.6972321641
68	0.6937765968
69	0.6906303576
70	0.6882257122
71	0.6859306435
72	0.683262815
73	0.6808935672
74	0.6784944187
75	0.6759270092
76	0.6731069822
77	0.6714555098
78	0.6689663945
79	0.6666619269
80	0.6641593668
81	0.6620466902
82	0.6596596084
83	0.6568719242
84	0.6551876537
85	0.6528053048
86	0.6508191513
87	0.6481741631
88	0.6467559206
89	0.6444484377
90	0.6424849455
91	0.6406202624
92	0.6384154232
93	0.6360777739
94	0.6337361556
95	0.6321956863
96	0.630201491
97	0.6286592512
98	0.6261742172
99	0.6244502743
100	0.6227202936
101	0.6215238461
102	0.6197913447
103	0.6182899701
104	0.6163630316
105	0.6145941412
106	0.6132440369
107	0.611706091
108	0.6106837972
109	0.6077148462
110	0.6065769584
111	0.6042550919
112	0.6028790424
113	0.601849506
114	0.6004333315
115	0.5988941414
116	0.5976567603
117	0.5963311634
118	0.5943631245
119	0.5920837556
120	0.5897345121
121	0.5887850838
122	0.5877087525
123	0.5864401489
124	0.5854033188
125	0.5833793389
126	0.5822968292
127	0.5811532007
128	0.5795219112
129	0.5782682133
130	0.5769584703
131	0.5756888548
132	0.5740626027
133	0.5727996711
134	0.5718458717
135	0.5707964213
136	0.5693107585
137	0.5682130508
138	0.5675653806
139	0.5666394039
140	0.5656022172
141	0.5650128387
142	0.5641328028
143	0.5632926441
144	0.5622381468
145	0.5612910125
146	0.56041577
147	0.559352623
148	0.5585508141
149	0.557706169
150	0.5569761113
151	0.5559871679
152	0.5550807361
153	0.5540893419
154	0.5532353113
155	0.552465782
156	0.5513194031
157	0.5504872439
158	0.5499682069
159	0.5490852145
