iter	Passed	Remaining
0	173	173074
1	210	104906
2	245	81730
3	280	69944
4	315	62769
5	348	57787
6	383	54336
7	422	52415
8	460	50688
9	498	49354
10	544	48995
11	590	48593
12	634	48172
13	681	48014
14	720	47284
15	763	46950
16	805	46572
17	845	46114
18	887	45817
19	923	45246
20	963	44907
21	1012	44995
22	1051	44669
23	1092	44431
24	1135	44265
25	1171	43903
26	1220	43988
27	1268	44036
28	1319	44195
29	1375	44486
30	1428	44640
31	1478	44730
32	1537	45055
33	1592	45249
34	1641	45267
35	1700	45526
36	1756	45712
37	1818	46039
38	1882	46382
39	1934	46426
40	1986	46460
41	2051	46783
42	2104	46846
43	2160	46941
44	2208	46858
45	2252	46709
46	2300	46640
47	2349	46596
48	2388	46357
49	2443	46426
50	2495	46443
51	2551	46508
52	2664	47602
53	2763	48419
54	2835	48716
55	2890	48717
56	2952	48847
57	3005	48818
58	3060	48817
59	3114	48797
60	3168	48775
61	3225	48796
62	3277	48741
63	3332	48741
64	3389	48754
65	3444	48748
66	3499	48730
67	3547	48625
68	3607	48679
69	3660	48630
70	3712	48578
71	3763	48513
72	3819	48497
73	3864	48364
74	3911	48240
75	3953	48062
76	3995	47898
77	4039	47751
78	4086	47640
79	4133	47530
80	4174	47362
81	4218	47230
82	4262	47096
83	4311	47018
84	4368	47022
85	4436	47150
86	4492	47142
87	4550	47159
88	4598	47066
89	4647	46995
90	4704	46995
91	4759	46970
92	4804	46861
93	4856	46807
94	4905	46726
95	4965	46757
96	5029	46821
97	5081	46771
98	5125	46648
99	5173	46560
100	5219	46460
101	5257	46290
102	5301	46171
103	5339	45999
104	5384	45894
105	5427	45774
106	5474	45691
107	5521	45602
108	5575	45574
109	5629	45544
110	5673	45436
111	5736	45480
112	5785	45410
113	5832	45332
114	5883	45279
115	5934	45222
116	5979	45129
117	6022	45012
118	6067	44921
119	6118	44870
120	6176	44869
121	6220	44764
122	6262	44651
123	6301	44517
124	6337	44359
125	6378	44242
126	6419	44125
127	6456	43983
128	6499	43884
129	6541	43775
130	6584	43676
131	6629	43595
132	6677	43526
133	6722	43443
134	6765	43349
135	6809	43262
136	6854	43178
137	6894	43066
138	6939	42987
139	6982	42892
140	7022	42784
141	7059	42654
142	7103	42569
143	7144	42469
144	7185	42368
145	7228	42281
146	7278	42235
147	7324	42165
148	7371	42102
149	7414	42014
150	7450	41892
151	7501	41848
152	7546	41778
153	7591	41705
154	7638	41639
155	7680	41552
156	7725	41480
157	7769	41403
158	7813	41326
159	7857	41250
160	7894	41139
161	7937	41058
162	7978	40968
163	8022	40895
164	8071	40847
165	8124	40816
166	8162	40713
167	8204	40630
168	8245	40543
169	8286	40455
170	8330	40385
171	8368	40284
172	8409	40200
173	8451	40118
174	8491	40033
175	8529	39934
176	8571	39854
177	8619	39803
178	8657	39709
179	8704	39652
180	8752	39602
181	8795	39531
182	8838	39458
183	8885	39403
184	8927	39328
185	8968	39249
186	9011	39176
187	9054	39108
188	9098	39043
189	9144	38983
190	9188	38919
191	9234	38862
192	9283	38817
193	9333	38775
194	9373	38694
195	9424	38661
196	9465	38584
197	9514	38539
198	9562	38490
199	9618	38475
200	9671	38445
201	9723	38410
202	9778	38393
203	9832	38366
204	9885	38335
205	9936	38300
206	9986	38255
207	10035	38211
208	10081	38153
209	10128	38102
210	10173	38041
211	10218	37981
212	10262	37919
213	10308	37863
214	10368	37855
215	10428	37851
216	10493	37862
217	10549	37841
218	10594	37780
219	10638	37716
220	10684	37661
221	10721	37574
222	10765	37509
223	10807	37440
224	10850	37374
225	10894	37311
226	10933	37231
227	10971	37149
228	11013	37079
229	11051	36998
230	11097	36943
231	11142	36884
232	11183	36815
233	11232	36768
234	11280	36722
235	11327	36669
236	11378	36633
237	11421	36566
238	11469	36519
239	11514	36461
240	11559	36405
241	11598	36330
242	11643	36273
243	11694	36232
244	11745	36196
245	11802	36175
246	11849	36122
247	11901	36087
248	11978	36127
249	12047	36141
250	12092	36083
251	12133	36014
252	12176	35951
253	12212	35868
254	12254	35802
255	12294	35731
256	12333	35655
257	12375	35590
258	12413	35516
259	12451	35438
260	12491	35369
261	12531	35299
262	12575	35239
263	12618	35178
264	12660	35115
265	12707	35065
266	12752	35010
267	12797	34954
268	12843	34901
269	12888	34846
270	12924	34767
271	12964	34699
272	13007	34638
273	13050	34580
274	13092	34516
275	13136	34460
276	13179	34399
277	13225	34347
278	13269	34290
279	13311	34229
280	13361	34188
281	13402	34124
282	13452	34083
283	13499	34033
284	13539	33967
285	13584	33913
286	13630	33861
287	13673	33805
288	13716	33745
289	13758	33685
290	13801	33627
291	13847	33574
292	13892	33523
293	13941	33477
294	13986	33425
295	14032	33374
296	14076	33318
297	14125	33274
298	14167	33215
299	14208	33153
300	14248	33089
301	14286	33019
302	14327	32958
303	14368	32897
304	14407	32830
305	14446	32763
306	14485	32697
307	14532	32650
308	14571	32584
309	14613	32527
310	14660	32480
311	14698	32412
312	14741	32355
313	14781	32293
314	14828	32246
315	14865	32177
316	14908	32120
317	14951	32064
318	14989	32000
319	15033	31945
320	15078	31894
321	15128	31854
322	15170	31796
323	15211	31736
324	15258	31691
325	15305	31644
326	15347	31587
327	15385	31521
328	15432	31475
329	15473	31415
330	15516	31361
331	15562	31312
332	15610	31267
333	15649	31204
334	15693	31152
335	15741	31108
336	15781	31048
337	15828	31000
338	15870	30945
339	15918	30900
340	15979	30880
341	16038	30857
342	16105	30848
343	16157	30812
344	16204	30765
345	16252	30720
346	16294	30662
347	16342	30619
348	16386	30566
349	16425	30504
350	16464	30442
351	16506	30387
352	16547	30329
353	16591	30277
354	16637	30229
355	16683	30181
356	16725	30124
357	16771	30076
358	16819	30031
359	16861	29976
